TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,3.079,3.085,1.698,3.067,1.029,9.576,325.305,0.655,98.583,2.69,1.163
19890102,3.037,2.523,2.444,3.974,0.35,19.698,311.057,0.778,98.845,0.392,0.545
19890103,-0.133,-0.593,0.597,0.707,1.563,43.66,254.472,1.195,98.723,0.0,1.361
19890104,0.381,-0.405,1.152,1.814,1.7,45.768,252.96,1.554,98.287,0.0,1.324
19890105,1.657,1.506,0.56,1.931,0.327,12.89,300.442,1.02,97.661,0.457,1.603
19890106,0.992,0.815,0.435,1.313,0.144,12.998,308.293,0.734,96.525,4.409,0.952
19890107,0.789,0.888,1.224,0.609,0.497,12.82,313.105,0.635,96.639,3.693,1.664
19890108,5.168,4.964,2.113,5.54,1.033,4.216,338.093,0.635,96.835,6.772,1.916
19890109,6.445,5.702,1.52,7.799,0.524,25.836,320.237,1.429,97.016,0.256,1.397
19890110,4.418,4.079,1.605,5.036,0.322,12.313,322.939,1.129,96.844,0.92,1.63
19890111,1.906,1.305,1.892,3.001,1.094,46.693,276.587,1.202,97.574,3.009,1.269
19890112,1.658,1.182,1.619,2.524,1.424,45.725,266.058,1.213,97.479,0.0,1.543
19890113,3.855,3.569,1.112,4.377,0.741,40.488,280.896,2.076,97.998,0.734,2.051
19890114,4.559,3.564,2.359,6.373,2.175,49.194,279.209,2.466,98.177,0.564,1.993
19890115,3.915,3.531,1.126,4.615,1.253,41.158,283.494,2.175,98.44,0.017,2.319
19890116,5.284,5.035,0.377,5.737,0.4,14.533,327.967,1.544,98.376,0.592,1.732
19890117,4.096,3.926,0.668,4.408,0.415,26.09,319.075,1.787,98.07,0.98,1.82
19890118,2.344,1.953,0.646,3.056,0.595,42.305,288.35,1.081,98.489,0.162,1.519
19890119,0.494,-0.288,0.71,1.921,1.127,52.788,262.977,1.073,98.586,0.001,1.04
19890120,0.19,-0.694,1.228,1.803,1.562,56.201,261.84,1.086,98.197,0.0,0.823
19890121,1.118,0.643,1.238,1.985,1.364,55.182,262.091,1.25,97.468,0.003,1.251
19890122,1.565,1.306,1.065,1.996,1.319,37.908,292.585,1.188,97.567,0.242,1.198
19890123,1.111,0.44,1.029,2.231,1.027,35.227,295.518,1.036,98.541,0.149,0.98
19890124,-0.897,-1.629,0.435,0.323,0.854,56.808,262.035,1.034,98.485,0.004,0.729
19890125,-1.534,-2.143,0.728,-0.518,1.604,62.598,252.363,0.924,98.308,0.0,1.134
19890126,-1.83,-2.53,0.531,-0.762,1.863,65.424,249.898,0.998,98.258,0.0,1.105
19890127,-1.183,-2.31,0.842,0.536,2.378,67.717,248.615,1.328,98.734,0.0,1.011
19890128,-1.255,-2.163,0.887,0.13,2.203,69.112,249.413,1.171,98.722,0.0,1.117
19890129,-0.361,-0.422,2.0,-0.27,0.909,19.607,297.598,1.094,99.076,0.059,0.96
19890130,2.143,1.818,0.163,2.639,0.999,53.761,307.271,1.196,99.08,0.206,1.512
19890131,2.579,2.408,0.452,2.84,0.487,14.515,329.41,0.609,99.196,0.179,1.314
19890201,2.777,2.113,0.519,3.789,1.157,40.008,319.249,0.558,98.855,0.055,0.793
19890202,0.644,0.251,1.163,1.245,0.146,38.812,296.663,0.678,98.473,0.071,0.547
19890203,-0.565,-1.464,0.456,0.807,1.241,70.705,258.218,1.107,98.296,0.002,0.934
19890204,-0.445,-1.764,0.946,1.569,2.347,79.208,250.718,1.563,98.044,0.0,0.968
19890205,1.146,0.723,1.128,1.791,0.636,38.749,280.586,1.632,97.698,0.383,2.073
19890206,5.149,4.431,1.734,6.246,1.233,46.539,312.881,1.769,98.147,0.152,2.103
19890207,5.756,4.536,1.118,7.617,1.733,74.033,287.135,2.207,98.339,0.028,1.368
19890208,2.968,1.274,1.143,5.34,3.287,78.768,276.386,1.559,98.208,0.0,0.759
19890209,1.697,1.163,0.388,2.443,1.153,74.096,282.964,0.983,97.875,0.027,1.454
19890210,1.777,1.333,0.482,2.4,0.953,77.899,273.615,1.428,98.058,0.01,1.486
19890211,2.166,0.776,1.234,4.113,2.226,88.238,263.96,1.723,98.777,0.0,0.856
19890212,2.446,1.539,1.242,3.716,1.188,56.308,295.47,1.579,98.36,2.112,1.774
19890213,1.385,1.051,0.695,1.852,0.717,61.109,283.763,1.164,97.97,2.747,1.809
19890214,1.863,1.283,0.42,2.61,0.634,45.323,294.839,1.367,96.791,3.636,2.526
19890215,2.695,2.455,1.227,3.003,0.827,53.419,305.333,1.67,96.827,1.097,2.482
19890216,2.483,2.249,1.342,2.783,0.64,82.682,286.736,1.561,96.441,2.953,2.259
19890217,0.327,-0.459,1.107,1.338,1.883,92.234,259.665,2.097,97.235,0.068,1.267
19890218,3.666,3.061,2.622,4.443,1.973,40.155,320.163,1.769,96.974,3.806,1.782
19890219,9.704,9.356,1.417,10.152,1.068,21.442,349.666,1.991,97.205,1.837,2.283
19890220,8.456,7.918,2.994,9.148,1.887,30.411,324.179,2.264,97.128,2.317,2.339
19890221,1.968,0.896,1.409,3.346,2.064,78.627,275.217,1.816,97.544,0.0,0.832
19890222,1.95,1.17,3.438,2.953,2.547,102.157,276.528,1.923,97.032,1.009,1.226
19890223,6.985,5.953,1.13,8.312,1.982,73.198,319.728,2.387,96.008,0.568,1.451
19890224,5.222,5.153,0.492,5.304,0.838,36.96,316.05,1.142,94.849,2.075,1.073
19890225,6.534,5.127,1.674,8.197,2.176,87.093,290.209,2.73,93.015,0.331,1.185
19890226,4.517,4.054,1.328,5.063,0.708,64.778,289.686,2.574,92.197,0.64,1.795
19890227,2.933,1.873,0.33,4.187,1.543,99.71,272.466,2.517,93.215,1.297,2.067
19890228,3.28,2.229,0.311,4.522,1.211,88.529,279.978,2.013,94.016,1.691,1.937
19890301,3.952,3.293,1.557,4.668,1.668,80.951,287.983,2.459,94.809,0.539,2.185
19890302,4.659,4.009,0.961,5.366,0.611,97.345,283.376,2.225,95.652,1.707,2.25
19890303,4.994,3.745,1.959,6.351,2.18,78.886,306.843,1.749,95.479,3.697,1.021
19890304,4.801,4.365,0.661,5.274,0.525,36.865,314.095,0.841,96.743,1.19,1.024
19890305,6.61,4.794,2.55,8.583,3.686,75.613,311.077,2.438,97.467,0.007,0.798
19890306,7.921,5.891,2.881,10.128,3.918,136.59,283.207,3.514,97.56,0.0,1.091
19890307,7.852,5.491,1.993,10.418,4.935,145.426,270.367,4.368,97.049,0.0,1.024
19890308,5.885,4.462,0.815,7.432,1.413,55.047,316.131,2.062,96.422,2.142,1.481
19890309,3.98,3.371,1.12,4.642,1.546,67.512,306.304,1.913,97.308,1.244,1.521
19890310,5.302,3.734,2.089,7.006,2.472,68.791,298.495,2.796,97.53,0.017,0.76
19890311,8.051,6.327,3.598,9.925,3.872,133.293,301.147,3.6,97.428,0.401,0.948
19890312,6.79,6.603,1.205,6.994,1.331,82.68,321.269,2.233,97.248,5.494,1.027
19890313,8.018,6.137,1.522,10.063,3.129,102.369,313.181,3.182,96.289,0.575,2.177
19890314,4.994,3.884,0.867,6.015,1.807,126.085,271.937,3.583,96.812,0.512,2.056
19890315,5.631,4.987,1.882,6.222,1.631,67.99,315.234,2.614,95.511,1.837,2.263
19890316,6.819,6.732,2.944,6.899,2.17,55.63,311.612,1.958,95.239,3.445,1.348
19890317,9.114,7.357,1.966,10.73,1.091,132.011,310.647,3.324,95.353,2.831,1.999
19890318,2.829,2.061,1.046,3.535,1.467,123.929,290.831,2.231,96.941,1.568,1.061
19890319,3.715,0.75,2.822,6.443,4.118,173.211,258.002,3.404,97.198,0.0,1.01
19890320,5.863,3.532,3.261,8.008,3.866,165.96,281.294,3.329,96.192,0.0,1.232
19890321,5.159,3.079,0.745,7.072,2.35,113.141,283.117,3.202,95.957,0.357,1.795
19890322,6.721,5.834,3.85,7.537,2.723,50.847,321.901,2.759,96.365,0.726,1.79
19890323,4.742,5.053,3.609,4.456,0.765,141.337,287.431,2.926,96.658,2.48,2.251
19890324,4.363,3.605,2.148,5.06,1.499,109.747,291.872,3.027,96.329,1.01,2.864
19890325,6.26,5.53,0.702,6.932,1.098,142.766,291.895,3.376,96.377,1.97,2.755
19890326,5.427,3.825,1.985,6.901,3.641,181.582,269.077,3.96,97.402,0.0,1.322
19890327,8.288,5.178,5.101,11.15,5.48,193.99,273.897,5.747,97.346,0.0,1.008
19890328,12.765,10.425,4.07,14.745,5.797,191.869,292.977,8.123,96.873,0.0,1.329
19890329,9.59,9.536,2.696,9.636,0.789,102.182,305.429,4.121,97.274,0.529,1.002
19890330,11.01,7.756,4.568,13.763,5.238,128.675,307.5,4.824,97.19,0.087,1.15
19890331,11.342,9.444,3.262,12.947,4.594,180.017,311.325,4.884,96.911,0.27,0.748
19890401,6.28,5.936,3.78,6.548,1.47,117.271,310.842,1.454,96.383,2.08,1.223
19890402,0.231,-0.597,0.743,0.875,1.569,149.223,273.524,2.676,96.277,0.089,1.252
19890403,1.234,-0.114,2.094,2.282,2.288,152.92,286.463,3.043,96.319,0.428,1.531
19890404,1.279,1.205,0.499,1.337,0.372,64.815,318.295,1.824,95.849,1.905,2.07
19890405,4.295,2.443,2.132,5.735,2.928,124.926,318.182,1.367,95.061,4.064,2.09
19890406,8.481,6.443,1.619,10.066,2.826,191.337,290.103,4.144,95.795,1.119,1.345
19890407,8.271,6.025,1.783,10.018,2.646,182.099,291.212,3.951,96.355,1.102,1.114
19890408,7.276,5.845,1.798,8.389,2.16,95.323,310.636,2.132,96.534,2.127,0.589
19890409,7.824,6.921,0.947,8.526,1.61,148.392,311.741,2.199,96.723,2.148,0.772
19890410,8.231,6.825,2.874,9.235,2.922,214.382,296.082,2.839,96.303,0.0,1.448
19890411,13.105,10.756,4.269,14.784,4.61,212.042,308.719,6.221,96.169,0.074,1.046
19890412,16.053,13.998,3.234,17.52,4.088,214.773,314.671,9.499,95.393,0.003,1.669
19890413,15.881,14.322,1.677,16.994,2.856,220.95,306.845,9.446,95.035,0.028,2.195
19890414,14.085,11.913,1.276,15.636,2.554,164.456,326.563,6.732,95.405,0.578,1.199
19890415,8.994,9.033,0.756,8.966,0.348,67.063,347.142,0.999,96.229,2.89,1.394
19890416,8.797,8.325,1.009,9.135,1.498,91.783,349.143,1.112,95.991,0.915,0.806
19890417,4.664,5.226,2.73,4.264,0.707,41.615,325.481,0.824,95.669,2.08,1.675
19890418,3.97,2.313,2.967,5.154,3.05,152.985,288.568,2.989,96.327,0.308,0.859
19890419,6.497,4.531,1.599,7.902,2.594,181.173,295.197,3.036,96.361,1.925,1.203
19890420,6.959,4.764,1.525,8.397,2.729,203.218,284.589,2.814,96.627,2.255,0.762
19890421,10.621,7.855,3.623,12.434,4.134,189.727,312.756,4.383,96.477,1.429,1.069
19890422,7.632,7.527,2.309,7.701,1.512,41.126,344.262,0.767,95.796,15.151,1.256
19890423,5.833,4.492,1.419,6.712,2.708,169.748,299.103,2.327,96.621,0.449,1.302
19890424,10.185,7.156,4.998,12.169,4.91,256.492,282.434,6.081,96.56,0.0,1.311
19890425,11.998,10.087,2.086,13.144,3.471,228.527,302.476,6.28,95.965,0.018,1.696
19890426,12.621,10.549,2.284,13.865,3.637,230.323,318.903,4.743,95.202,0.943,1.075
19890427,4.117,4.889,2.38,3.653,0.417,89.589,329.872,1.121,96.081,2.001,1.314
19890428,1.876,2.259,0.26,1.646,0.296,30.551,325.02,0.386,96.377,14.186,1.536
19890429,3.732,3.371,1.319,3.948,1.603,98.982,316.575,1.431,96.981,1.648,1.437
19890430,6.022,5.173,1.671,6.531,1.905,101.403,322.315,2.885,97.325,0.291,1.274
19890501,8.006,5.961,2.514,9.233,3.836,237.3,282.325,4.31,97.4,0.0,1.459
19890502,9.928,7.917,4.09,11.134,4.203,241.775,298.987,5.369,97.453,0.002,1.04
19890503,12.509,10.968,0.679,13.433,1.536,145.981,342.81,4.333,97.514,0.238,1.056
19890504,12.452,10.844,1.865,13.416,3.321,139.218,333.357,4.256,97.724,0.086,0.932
19890505,13.699,11.095,3.11,15.261,3.856,220.677,315.294,5.678,97.635,0.114,1.232
19890506,8.053,7.954,2.108,8.112,0.618,191.211,305.287,3.791,96.956,1.645,2.35
19890507,6.943,5.562,1.449,7.772,2.387,182.847,301.12,3.351,97.406,0.53,1.78
19890508,7.943,6.27,2.571,8.947,2.782,130.727,321.625,3.411,97.209,0.157,1.105
19890509,13.394,9.463,4.324,15.55,5.248,255.905,304.148,7.814,96.544,0.0,0.991
19890510,12.936,11.34,0.443,13.812,1.545,102.066,339.548,3.546,96.107,11.342,1.064
19890511,12.296,11.064,1.24,12.972,1.963,107.325,346.33,2.079,96.052,5.23,0.81
19890512,13.355,11.079,0.733,14.494,2.04,220.71,317.042,4.385,95.726,3.116,1.619
19890513,11.313,8.991,0.994,12.475,2.441,210.273,304.459,4.15,96.304,1.258,1.217
19890514,10.594,8.666,1.147,11.558,2.327,185.599,313.587,4.446,97.368,0.217,0.748
19890515,11.457,8.359,2.366,13.007,3.747,276.992,289.135,6.13,98.294,0.0,0.978
19890516,13.353,9.161,3.305,15.449,4.461,294.009,290.244,8.088,98.095,0.0,0.97
19890517,15.236,11.451,3.016,17.129,4.053,275.236,306.709,8.409,97.854,0.0,0.833
19890518,16.573,13.625,2.173,18.047,4.617,245.201,318.939,8.928,97.687,0.0,0.988
19890519,17.645,13.214,2.501,19.86,4.734,275.409,320.842,10.132,97.51,0.005,0.815
19890520,17.432,13.825,1.686,19.235,3.438,252.592,329.929,8.394,97.416,0.164,0.857
19890521,15.122,12.016,2.034,16.675,3.683,263.533,314.207,7.066,97.57,0.06,1.358
19890522,12.864,10.382,2.592,14.104,4.265,296.593,287.918,8.215,97.909,0.0,1.606
19890523,14.693,11.314,2.909,16.382,4.243,298.097,295.069,9.837,97.908,0.0,1.45
19890524,16.628,13.271,3.031,18.306,4.353,297.089,304.537,11.041,97.822,0.0,1.434
19890525,17.435,14.059,2.666,19.123,3.957,296.056,309.423,11.511,97.66,0.0,1.433
19890526,17.665,14.352,2.373,19.321,4.163,295.921,312.822,11.523,97.48,0.0,1.303
19890527,17.724,14.31,2.029,19.431,4.432,287.542,319.833,10.991,97.313,0.0,0.859
19890528,16.438,14.322,3.071,17.497,4.117,262.844,325.084,8.169,97.229,0.105,0.692
19890529,16.114,12.27,2.144,18.035,3.639,228.519,329.446,7.608,96.83,0.777,0.59
19890530,15.129,12.494,0.729,16.326,2.873,219.463,339.058,4.581,96.262,7.671,0.745
19890531,10.275,9.401,1.942,10.673,2.896,298.526,300.307,5.036,96.422,0.144,1.339
19890601,11.914,8.163,3.217,13.619,3.605,189.016,322.415,4.921,96.369,3.523,0.75
19890602,10.962,9.732,0.342,11.521,1.291,75.572,346.236,1.316,96.21,9.14,1.094
19890603,10.267,9.244,0.453,10.731,1.739,122.188,346.426,2.404,96.258,0.451,1.004
19890604,10.48,8.991,0.993,11.156,1.397,147.278,329.055,2.683,96.178,3.517,0.73
19890605,9.996,6.958,1.605,11.377,3.168,225.217,311.587,3.3,96.3,2.903,0.608
19890606,9.75,7.784,1.167,10.644,2.339,168.739,314.316,3.672,96.415,0.308,0.928
19890607,11.169,7.75,1.995,12.723,2.883,227.364,308.763,4.631,96.347,3.556,0.841
19890608,11.369,8.652,0.987,12.605,2.203,232.246,310.931,4.315,96.854,1.949,1.15
19890609,12.782,9.054,2.337,14.476,3.368,222.836,316.6,5.43,97.191,0.677,0.629
19890610,14.881,10.905,3.75,16.688,4.396,220.088,323.71,6.929,97.142,0.763,0.576
19890611,15.342,13.088,0.793,16.271,2.007,146.888,348.499,4.924,97.305,4.93,0.734
19890612,16.114,13.218,1.197,17.307,3.036,289.413,323.032,7.702,97.674,0.824,1.228
19890613,15.795,12.677,2.667,17.078,4.24,279.783,311.571,8.467,97.676,0.0,1.278
19890614,14.234,11.407,1.473,15.398,3.41,283.784,304.747,8.735,97.633,0.175,1.253
19890615,12.457,10.294,1.323,13.348,2.718,242.64,308.622,6.425,97.527,0.004,1.12
19890616,12.135,10.663,3.117,12.741,3.042,147.236,328.882,5.47,97.578,0.177,1.231
19890617,15.475,14.251,1.922,15.979,2.735,178.648,349.159,6.595,97.388,0.014,1.474
19890618,17.308,15.171,1.517,18.188,2.958,166.53,355.295,7.135,97.402,0.513,1.306
19890619,17.141,14.724,1.279,18.137,2.646,296.461,325.341,8.947,97.675,0.25,1.152
19890620,17.22,14.025,2.671,18.535,3.104,239.531,336.171,9.192,97.308,0.229,1.113
19890621,19.409,16.394,3.52,20.651,4.012,303.287,325.086,12.132,96.81,0.0,0.937
19890622,19.479,17.239,1.536,20.401,2.274,258.501,341.576,10.243,96.562,0.044,0.783
19890623,18.103,15.923,1.168,19.0,2.708,162.043,356.853,5.515,96.552,1.207,0.822
19890624,17.342,15.725,0.859,18.008,1.785,193.174,354.756,4.399,96.848,0.52,1.041
19890625,18.75,15.753,2.327,19.984,4.001,230.968,349.977,8.598,96.966,0.288,0.426
19890626,20.858,17.381,2.154,22.29,3.94,242.018,353.321,9.367,96.728,1.869,0.855
19890627,20.578,17.28,1.142,22.077,2.802,248.435,353.957,7.948,96.262,10.094,0.913
19890628,14.469,13.633,1.402,14.849,1.349,146.627,337.825,3.922,96.53,2.554,1.446
19890629,15.212,12.255,2.371,16.557,3.565,191.517,336.094,7.304,96.735,0.023,1.031
19890630,13.197,12.119,1.833,13.686,0.829,72.55,344.959,2.868,96.805,3.114,0.969
19890701,14.985,11.918,4.023,16.378,3.645,169.651,338.829,3.602,96.615,1.907,1.063
19890702,15.792,14.714,0.376,16.282,0.744,106.982,364.011,2.109,96.4,10.438,0.718
19890703,13.047,13.388,0.819,12.892,0.411,55.069,375.463,0.63,97.241,1.995,1.233
19890704,18.201,15.602,3.562,19.383,4.65,178.765,371.528,5.354,97.462,0.391,1.458
19890705,20.709,17.432,1.605,22.198,3.206,258.439,348.43,9.364,97.621,0.053,1.061
19890706,21.65,17.455,2.429,23.557,4.199,297.47,336.819,13.929,97.591,0.0,0.881
19890707,23.095,19.342,2.901,24.801,4.236,297.526,346.099,14.499,97.1,0.0,1.106
19890708,22.052,19.224,0.912,23.337,2.406,237.723,366.32,8.963,96.708,2.047,0.827
19890709,19.919,17.986,1.242,20.797,2.591,165.474,368.378,5.45,96.808,18.167,0.77
19890710,18.71,16.576,0.69,19.68,2.045,197.361,359.975,5.296,97.222,0.448,0.907
19890711,16.762,15.307,1.065,17.423,2.332,169.008,357.509,5.738,97.333,0.002,0.938
19890712,17.257,14.745,1.518,18.399,3.263,208.513,343.039,6.909,97.17,0.054,0.879
19890713,16.744,14.996,0.985,17.538,2.658,207.096,343.158,6.503,96.796,0.781,1.134
19890714,12.936,12.194,1.044,13.273,1.237,202.301,331.922,4.387,96.726,2.042,1.772
19890715,12.634,11.663,2.125,13.076,2.35,154.166,339.457,4.747,97.004,0.757,2.156
19890716,13.719,12.829,0.989,14.124,1.835,180.28,336.174,5.903,96.954,0.711,2.507
19890717,12.505,11.414,2.038,13.0,2.685,136.494,339.197,5.965,97.255,0.714,1.943
19890718,13.053,11.974,0.909,13.543,0.964,147.361,337.103,4.416,96.584,5.828,2.286
19890719,12.988,10.065,1.728,14.317,3.237,190.141,324.956,6.129,97.212,0.024,1.789
19890720,13.505,10.365,2.698,14.932,3.562,153.309,341.321,5.275,97.411,0.016,1.337
19890721,15.683,12.231,2.199,17.253,4.027,206.262,334.851,7.326,97.57,0.047,0.59
19890722,18.596,14.664,4.058,20.383,4.719,277.562,325.047,11.044,97.455,0.0,0.892
19890723,21.27,17.927,1.847,22.789,4.297,250.16,353.744,12.473,97.196,1.633,1.02
19890724,19.294,17.821,0.601,20.031,1.79,135.05,377.58,3.552,97.175,11.979,0.619
19890725,19.371,17.357,1.521,20.377,2.644,158.683,371.13,5.198,97.228,2.534,0.85
19890726,18.882,16.887,1.174,19.879,2.412,139.488,369.427,3.946,97.15,9.656,0.512
19890727,17.449,15.782,0.725,18.363,1.497,123.814,371.895,2.342,97.096,12.076,0.668
19890728,16.073,14.583,1.385,16.89,2.018,182.599,353.954,5.101,97.377,0.68,1.168
19890729,16.642,13.154,2.515,18.555,4.249,217.576,331.555,8.133,97.407,0.076,0.505
19890730,18.286,15.325,2.781,19.911,4.273,243.147,344.209,8.592,96.47,0.757,1.262
19890731,14.504,13.85,2.456,14.862,0.738,183.29,330.849,5.058,95.937,1.34,2.349
19890801,11.664,9.872,0.855,12.647,1.649,179.425,323.377,3.01,95.902,2.665,1.463
19890802,10.983,9.726,0.689,11.672,1.668,172.713,329.985,2.755,96.173,2.437,2.082
19890803,10.758,10.643,0.976,10.82,1.024,47.716,355.032,1.883,96.327,1.531,2.001
19890804,13.217,12.568,1.046,13.573,1.156,118.068,349.08,4.201,96.319,3.072,2.048
19890805,14.998,12.549,2.328,16.341,3.498,244.642,316.357,6.643,96.339,0.0,1.256
19890806,16.852,13.14,5.238,18.888,5.349,263.094,323.575,8.674,96.302,0.099,0.611
19890807,18.732,16.628,1.648,19.886,3.136,133.712,363.445,6.366,96.473,5.659,0.82
19890808,18.729,17.411,0.872,19.451,1.821,173.4,360.711,4.825,96.571,1.292,0.846
19890809,17.575,16.192,1.115,18.333,2.108,141.827,358.333,3.945,96.798,2.542,0.955
19890810,18.695,15.104,2.909,20.664,4.592,220.773,340.309,8.965,96.693,0.022,0.619
19890811,19.832,16.789,1.585,21.502,3.569,203.848,352.849,8.735,96.228,0.403,1.191
19890812,18.628,17.104,0.93,19.542,1.579,148.124,362.85,5.407,96.246,2.982,1.369
19890813,18.283,15.706,1.582,19.829,3.293,168.026,349.045,8.12,96.585,0.601,0.711
19890814,20.314,17.101,2.372,22.242,4.124,199.539,350.288,11.399,96.577,0.169,1.226
19890815,22.126,18.139,4.441,24.518,5.919,234.996,352.22,12.97,96.919,0.014,0.964
19890816,24.59,20.975,3.383,26.759,5.074,238.318,363.609,14.835,96.833,0.0,0.955
19890817,19.971,18.511,2.099,20.928,1.39,106.46,368.192,6.077,97.104,2.484,1.108
19890818,17.821,15.233,1.677,19.517,2.86,179.364,347.104,5.562,97.614,3.605,0.667
19890819,18.702,15.651,2.848,20.702,4.064,194.766,341.503,8.336,97.582,0.017,1.054
19890820,20.395,17.159,3.055,22.516,4.9,220.208,349.589,9.237,97.115,0.003,0.886
19890821,22.357,18.484,2.487,24.894,4.935,232.692,354.287,12.441,97.14,0.0,0.738
19890822,20.657,17.933,1.89,22.441,3.777,199.138,360.955,8.55,97.247,2.703,0.602
19890823,16.889,15.492,2.242,17.804,1.72,148.05,346.017,5.381,97.416,0.155,1.094
19890824,15.847,12.388,3.097,18.114,4.488,207.696,323.815,8.203,97.024,0.0,1.231
19890825,14.254,12.006,1.551,15.727,2.294,110.812,341.882,4.509,96.296,1.92,1.793
19890826,12.548,11.166,2.99,13.453,3.646,188.875,322.98,4.579,96.445,0.009,0.788
19890827,15.538,13.894,1.033,16.713,2.439,124.702,354.404,3.915,95.712,6.971,1.377
19890828,10.294,9.963,1.218,10.53,1.006,69.174,342.738,2.595,95.726,5.995,2.83
19890829,9.645,9.827,1.049,9.516,1.012,39.527,345.199,1.572,96.549,12.419,2.573
19890830,11.264,9.044,1.546,12.85,3.167,160.817,313.603,4.357,97.054,0.031,1.052
19890831,12.117,9.595,3.624,13.917,4.238,202.819,300.317,5.614,96.958,0.0,0.715
19890901,13.654,10.794,3.75,15.696,5.053,213.586,308.021,6.708,96.87,0.0,0.513
19890902,12.174,11.264,0.567,12.824,1.007,62.398,352.678,2.165,96.97,0.922,0.943
19890903,11.379,10.574,0.686,11.954,1.377,56.347,350.985,1.415,97.031,7.293,0.989
19890904,12.047,11.458,1.311,12.468,1.925,100.819,346.602,3.894,97.235,1.225,1.232
19890905,11.742,10.542,1.206,12.599,2.08,126.67,330.002,3.75,97.634,0.291,1.074
19890906,11.908,9.338,1.956,13.907,3.329,138.505,325.038,4.727,97.828,0.0,0.598
19890907,13.241,10.715,2.933,15.206,3.73,114.513,339.336,4.246,97.619,0.004,0.563
19890908,15.647,12.963,2.598,17.735,3.942,165.997,330.518,5.837,97.032,0.001,0.949
19890909,16.157,13.578,1.734,18.163,3.044,136.092,342.547,6.18,96.432,0.012,1.013
19890910,15.308,13.081,2.006,17.192,3.423,111.223,354.568,4.427,96.692,1.143,0.749
19890911,14.167,12.813,1.212,15.313,2.293,120.094,343.44,3.453,97.121,0.213,1.345
19890912,13.207,11.244,1.683,14.868,3.341,168.109,315.281,4.744,97.243,0.003,1.002
19890913,13.812,11.646,3.091,15.645,3.94,135.178,332.578,5.587,96.825,0.401,1.089
19890914,14.455,13.241,0.572,15.481,1.178,96.768,340.156,3.979,96.443,3.353,1.597
19890915,12.787,12.661,0.997,12.895,1.251,25.614,359.584,1.281,96.148,9.966,1.603
19890916,15.669,14.926,1.685,16.297,1.562,55.173,369.541,1.782,96.548,5.408,1.606
19890917,18.434,16.423,1.633,20.135,3.467,140.646,347.227,5.767,96.929,0.018,0.972
19890918,19.663,17.137,2.914,21.8,4.741,168.432,339.398,8.269,97.262,0.026,0.861
19890919,19.823,17.809,1.571,21.526,3.611,169.652,342.612,6.528,97.132,0.0,1.205
19890920,17.399,16.17,0.856,18.439,2.226,77.669,363.707,3.748,98.001,0.621,0.809
19890921,18.974,17.007,2.311,20.638,3.941,161.458,340.454,6.246,97.662,0.0,1.415
19890922,17.926,16.127,1.089,19.448,3.447,157.308,338.098,5.39,96.942,0.0,1.2
19890923,17.683,16.05,1.865,19.184,3.44,136.791,353.075,4.347,96.892,0.803,0.631
19890924,15.772,15.523,0.504,16.0,0.482,39.979,377.846,1.062,97.353,2.756,0.851
19890925,15.34,14.478,0.402,16.203,1.087,64.177,370.882,1.353,97.247,4.937,0.454
19890926,13.748,13.381,0.757,14.116,1.426,92.638,357.039,2.806,97.075,3.117,1.085
19890927,9.792,9.88,0.622,9.703,0.748,60.365,344.91,1.561,96.872,15.239,0.867
19890928,10.002,9.786,0.308,10.217,0.555,22.353,356.45,1.378,97.362,1.768,1.177
19890929,9.165,8.408,0.635,9.921,1.65,90.204,323.294,2.22,97.525,1.04,1.438
19890930,9.283,8.902,1.799,9.664,1.366,42.171,334.266,1.415,97.362,1.475,1.752
19891001,10.872,10.369,0.821,11.375,1.474,105.534,330.071,2.607,97.416,0.834,1.527
19891002,10.249,10.094,0.78,10.404,0.94,57.545,343.438,2.852,96.829,1.657,2.91
19891003,7.53,6.405,1.98,8.655,1.933,128.952,290.525,3.317,97.048,3.27,2.177
19891004,5.639,3.618,2.33,7.659,3.529,121.112,284.172,2.619,97.869,0.0,0.828
19891005,6.993,3.853,3.408,10.133,5.261,140.976,280.003,3.674,97.835,0.0,0.589
19891006,9.571,7.275,3.228,11.867,4.42,114.932,314.098,3.08,97.066,1.44,1.346
19891007,8.264,7.874,0.802,8.688,0.44,44.964,336.199,1.37,95.865,6.866,1.675
19891008,7.303,6.795,0.597,7.855,0.756,57.006,325.511,1.37,96.027,1.48,0.654
19891009,6.538,6.1,0.494,7.014,0.629,24.187,327.762,0.645,96.482,3.862,0.898
19891010,6.455,5.905,0.297,7.053,0.571,46.496,317.718,1.089,96.518,1.808,1.403
19891011,7.029,6.423,1.041,7.687,0.938,35.638,320.86,1.637,96.482,2.206,2.277
19891012,8.65,8.501,1.733,8.811,1.554,52.293,329.033,2.025,97.019,0.734,1.917
19891013,12.176,11.351,0.895,13.151,1.348,72.391,341.367,3.991,96.696,0.076,2.236
19891014,10.658,9.958,1.546,11.486,0.378,42.581,329.048,3.521,96.33,0.776,1.884
19891015,6.676,5.68,0.9,7.851,1.175,77.254,296.99,1.857,97.016,1.439,1.889
