TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19890101,-12.278,-12.148,3.595,-12.715,1.088,5.222,256.731,0.271,100.713,0.16,2.303
19890102,-5.862,-6.254,6.11,-4.544,1.758,2.798,291.805,0.3,100.21,0.45,4.409
19890103,1.466,1.6,0.709,1.019,0.801,6.166,259.549,1.092,99.457,0.021,5.323
19890104,-0.147,0.026,0.667,-0.727,0.279,6.849,272.89,0.515,98.988,0.011,3.839
19890105,0.623,0.379,0.743,1.358,0.124,2.679,317.41,0.514,98.37,1.795,3.989
19890106,-0.258,-0.117,0.817,-0.68,0.121,6.95,284.372,0.522,97.64,0.223,3.849
19890107,-1.608,-1.621,0.914,-1.567,0.311,3.8,301.687,0.519,97.351,1.281,2.907
19890108,-2.51,-2.54,0.149,-2.419,0.195,5.015,297.135,0.428,97.938,2.016,2.841
19890109,-0.059,-0.456,0.914,1.129,0.595,5.139,268.979,0.962,96.602,2.564,5.02
19890110,-0.539,-0.863,1.123,0.433,0.202,7.603,274.129,0.652,96.592,3.658,4.291
19890111,-5.198,-5.239,1.973,-5.076,0.492,6.211,276.676,0.458,98.041,0.149,2.247
19890112,-1.883,-2.412,3.487,-0.297,1.173,2.219,306.357,0.507,98.392,1.665,4.421
19890113,0.659,0.674,0.383,0.614,0.066,1.682,321.594,0.312,98.089,9.209,2.441
19890114,0.1,0.066,0.432,0.202,0.142,4.56,314.657,0.336,98.339,7.022,3.153
19890115,0.188,0.403,1.032,-0.457,0.455,3.739,278.987,0.541,96.692,5.281,5.156
19890116,1.434,1.125,1.382,2.361,0.148,9.243,273.353,2.014,97.2,0.115,5.985
19890117,0.338,-0.031,1.144,1.444,0.873,7.298,284.455,1.442,96.63,2.198,6.793
19890118,-3.751,-3.408,2.258,-4.674,0.415,7.744,281.93,0.972,97.924,0.161,5.878
19890119,-4.126,-4.062,2.823,-4.301,1.195,5.167,290.212,0.418,99.156,0.287,3.403
19890120,0.218,-0.172,0.349,1.165,0.315,11.128,301.314,0.363,98.905,0.05,2.943
19890121,-3.008,-2.535,1.155,-4.155,0.254,12.617,268.56,0.317,99.287,1.162,2.792
19890122,-0.061,-0.376,0.959,0.704,0.245,8.391,282.708,0.894,97.891,1.26,5.211
19890123,-3.4,-3.83,1.371,-2.355,0.22,18.271,225.195,1.064,98.831,0.016,4.686
19890124,-5.706,-5.818,0.733,-5.435,0.58,15.571,257.544,0.29,99.801,0.087,2.179
19890125,-0.565,-0.978,1.163,0.438,0.353,7.321,299.4,0.354,99.753,0.729,3.373
19890126,-1.25,-1.6,0.703,-0.4,0.488,8.65,279.609,0.476,99.772,0.152,4.345
19890127,-0.409,-0.453,0.856,-0.301,0.559,22.489,267.172,0.981,99.64,0.279,5.057
19890128,2.993,2.842,0.729,3.327,0.182,6.395,325.314,1.172,98.655,0.426,6.763
19890129,1.892,1.979,0.539,1.701,0.432,18.0,264.704,2.566,98.509,0.914,7.28
19890130,0.955,0.72,1.365,1.471,0.337,24.666,247.158,2.409,97.691,0.682,7.391
19890131,-2.674,-2.696,0.633,-2.626,0.552,27.009,236.037,1.426,99.508,0.139,4.437
19890201,1.543,0.612,1.157,3.406,0.965,26.79,261.229,1.281,99.607,0.006,4.236
19890202,0.59,0.096,0.524,1.578,0.952,26.965,264.542,1.269,98.714,0.031,5.021
19890203,2.508,1.851,0.963,3.822,1.11,28.458,272.079,2.171,97.653,0.22,6.561
19890204,1.425,0.748,2.993,2.779,1.705,5.147,300.058,0.835,97.954,2.183,5.795
19890205,1.341,1.513,1.321,0.996,0.203,7.186,299.296,0.778,96.601,9.999,5.994
19890206,0.113,0.482,1.591,-0.623,0.632,24.521,271.98,1.342,97.132,0.935,5.433
19890207,1.852,1.465,0.796,2.559,0.492,28.514,280.276,1.711,97.426,0.378,4.672
19890208,-0.431,-1.278,1.418,1.113,1.081,36.948,251.583,1.732,98.601,0.003,5.483
19890209,-8.382,-8.442,1.391,-8.271,2.007,41.953,205.797,0.514,101.156,0.002,2.054
19890210,-5.045,-5.766,4.397,-3.73,2.497,37.889,241.645,0.697,101.407,0.03,3.801
19890211,0.393,0.26,0.265,0.635,0.185,11.51,316.904,0.576,100.042,1.326,3.572
19890212,-0.169,-0.337,0.773,0.11,0.728,11.098,313.731,0.453,98.828,4.211,2.851
19890213,-1.535,-1.538,1.646,-1.531,0.728,45.465,260.264,0.806,98.22,2.344,4.001
19890214,-1.999,-2.913,2.849,-0.477,1.624,25.781,280.349,0.864,98.178,2.081,5.656
19890215,-0.116,-0.175,0.217,-0.017,0.382,18.689,311.003,0.566,97.225,9.451,6.147
19890216,-1.083,-1.494,1.662,-0.399,0.483,38.098,275.598,0.46,96.115,1.884,3.995
19890217,-4.858,-5.699,1.28,-3.574,1.749,54.332,230.307,0.661,97.829,0.312,3.149
19890218,-7.934,-8.762,2.1,-6.669,3.208,57.187,213.321,0.414,99.649,0.0,2.452
19890219,-3.419,-3.91,1.415,-2.668,0.808,16.745,288.291,0.854,98.25,9.599,6.65
19890220,-0.789,-1.131,0.968,-0.265,0.917,38.31,276.344,0.673,97.254,2.02,3.561
19890221,-1.977,-2.599,1.007,-1.028,1.503,60.833,230.88,0.77,97.927,0.0,3.564
19890222,-3.199,-4.22,1.561,-1.769,2.129,55.059,231.8,0.83,98.183,0.0,3.908
19890223,-4.488,-4.368,3.652,-4.656,2.618,38.238,269.224,0.411,97.917,5.275,3.354
19890224,-0.334,-0.315,0.219,-0.36,0.526,34.737,299.604,0.83,96.917,0.743,4.616
19890225,-1.332,-1.541,0.445,-1.039,0.713,36.977,296.19,0.653,97.535,0.74,3.554
19890226,-0.201,-0.304,1.059,-0.057,0.487,11.699,317.643,0.525,96.712,8.476,6.148
19890227,2.018,1.836,0.997,2.273,0.949,20.504,324.643,0.777,96.228,2.221,5.66
19890228,1.349,1.692,0.584,0.907,0.281,19.627,318.871,0.741,95.937,6.453,4.625
19890301,1.041,0.874,0.256,1.257,0.49,30.556,313.675,0.677,97.119,0.867,3.84
19890302,0.913,0.717,0.455,1.165,0.369,33.292,308.634,0.791,98.339,0.647,3.227
19890303,0.668,0.237,0.522,1.176,0.647,40.58,308.862,0.682,99.04,0.307,2.691
19890304,0.465,0.285,0.154,0.679,0.376,31.105,314.461,0.625,99.436,0.341,1.329
19890305,0.459,0.227,0.311,0.732,0.593,39.768,308.751,0.721,99.582,1.421,3.271
19890306,0.21,0.1,0.137,0.339,0.547,56.484,300.946,0.475,100.309,0.131,2.081
19890307,-0.636,-0.635,0.418,-0.636,0.611,40.609,302.171,0.624,100.8,0.079,4.198
19890308,-1.036,-1.811,0.991,-0.121,1.77,61.74,281.5,1.118,100.335,0.044,2.963
19890309,-1.491,-2.065,1.81,-0.811,1.604,48.736,304.091,0.679,100.089,1.272,1.641
19890310,0.023,-0.382,0.325,0.5,0.538,46.277,303.996,1.134,100.039,0.571,4.353
19890311,0.754,0.494,0.275,1.037,0.066,14.786,320.67,0.764,99.455,13.938,6.114
19890312,0.468,0.163,0.277,0.799,0.33,58.402,303.538,0.651,99.328,0.293,2.752
19890313,0.731,-0.051,0.402,1.513,0.812,49.571,313.911,0.715,99.076,0.174,4.132
19890314,0.808,0.504,0.731,1.112,0.385,28.064,318.152,0.815,97.392,3.921,5.758
19890315,0.682,-0.12,0.795,1.484,1.252,67.938,276.614,1.036,97.204,0.412,4.123
19890316,-0.829,-1.158,0.339,-0.5,0.714,91.672,283.132,0.966,97.643,0.042,2.692
19890317,-0.112,-0.441,0.603,0.217,0.769,34.634,310.726,0.673,97.502,1.247,2.755
19890318,-0.702,-1.394,1.034,-0.009,0.885,82.526,280.646,1.356,97.884,0.374,4.472
19890319,-1.537,-2.816,2.694,-0.259,1.584,51.233,284.698,0.626,97.8,2.241,3.587
19890320,1.506,1.197,1.122,1.815,2.163,117.651,289.383,1.189,98.417,0.041,3.111
19890321,3.065,2.306,0.41,3.824,0.799,52.475,324.886,1.151,98.106,5.391,4.083
19890322,1.354,1.356,0.966,1.351,0.549,33.111,314.244,0.529,96.809,6.741,4.333
19890323,0.239,-0.057,0.819,0.489,0.916,46.884,289.54,0.526,96.714,7.337,3.403
19890324,0.528,-0.247,0.346,1.184,1.643,137.021,264.179,1.245,97.229,0.23,3.262
19890325,0.366,0.011,0.266,0.666,0.383,44.145,309.387,0.631,96.644,4.686,4.368
19890326,0.388,-0.066,0.423,0.772,0.482,62.392,309.05,0.989,98.096,1.356,3.95
19890327,-0.472,-1.718,1.803,0.583,3.501,127.098,261.214,1.61,99.473,0.009,1.719
19890328,-1.506,-1.917,2.16,-1.158,2.28,138.003,266.192,1.705,99.473,0.375,3.781
19890329,1.189,0.592,0.44,1.694,0.461,57.157,289.771,1.714,97.31,6.953,7.208
19890330,-0.116,-1.816,1.038,1.323,2.294,157.443,231.839,2.724,98.499,0.0,4.23
19890331,-1.647,-4.064,2.274,0.233,4.008,155.82,229.999,2.43,99.328,0.002,2.698
19890401,-3.655,-4.531,1.031,-2.973,1.738,142.239,231.478,1.638,99.994,0.391,4.843
19890402,-4.552,-5.244,1.605,-4.057,2.223,85.543,259.135,1.423,99.978,0.146,4.646
19890403,-3.648,-5.018,1.581,-2.67,2.781,133.607,253.183,1.676,99.845,0.024,3.304
19890404,-3.485,-5.85,3.334,-1.795,3.962,148.272,245.834,1.849,100.511,0.02,1.688
19890405,-1.127,-3.83,3.769,0.804,4.632,181.912,231.42,2.62,100.798,0.0,1.682
19890406,0.578,-2.233,3.109,2.586,3.822,179.905,244.458,2.776,100.468,0.0,3.345
19890407,1.459,0.328,2.429,2.267,2.082,79.982,306.092,2.47,99.918,0.908,2.828
19890408,1.773,1.62,0.151,1.881,0.301,37.604,325.652,0.74,99.232,3.085,3.202
19890409,2.169,1.562,0.487,2.567,1.426,107.766,312.098,1.021,99.314,0.054,3.37
19890410,2.463,1.511,0.724,3.086,1.28,86.355,313.443,0.934,99.472,0.593,1.732
19890411,2.589,2.202,1.809,2.842,2.053,86.46,321.007,1.124,99.794,0.29,3.298
19890412,5.768,5.22,1.297,6.126,1.498,104.777,324.464,1.19,99.455,0.883,3.786
19890413,10.319,7.291,2.922,12.303,4.383,187.27,296.749,4.587,99.688,0.0,3.623
19890414,9.75,6.757,1.775,11.546,3.811,198.168,282.435,4.966,100.174,0.0,3.377
19890415,5.28,3.545,1.244,6.321,2.379,202.486,264.826,4.006,100.582,0.0,3.957
19890416,3.591,0.826,2.008,5.25,3.226,165.719,272.058,3.953,100.21,2.455,4.154
19890417,4.127,2.975,1.834,4.819,2.368,49.798,330.89,1.223,99.467,6.069,5.092
19890418,4.024,4.394,0.875,3.801,1.182,89.467,328.745,1.338,99.642,3.286,3.671
19890419,7.139,6.229,0.86,7.637,1.732,91.902,341.728,1.875,99.674,0.101,4.41
19890420,7.58,5.486,1.859,8.728,3.73,114.349,327.762,3.594,99.656,0.133,2.216
19890421,4.924,4.072,0.432,5.392,0.762,96.338,328.535,0.895,99.295,1.294,2.725
19890422,4.893,4.052,1.396,5.355,2.049,104.874,319.229,1.994,99.051,0.595,2.365
19890423,4.041,3.027,0.625,4.596,0.786,35.561,318.025,0.99,97.828,7.641,4.502
19890424,2.521,0.785,0.634,3.473,1.67,181.504,265.177,2.448,98.678,1.587,4.216
19890425,4.278,2.009,3.096,5.412,3.138,165.34,277.184,4.335,99.752,0.212,4.267
19890426,10.005,7.519,3.437,11.248,3.911,195.185,295.167,7.615,99.403,0.0,5.219
19890427,13.441,11.294,2.062,14.514,3.224,172.917,336.913,6.991,98.989,0.285,5.124
19890428,11.709,11.062,0.341,12.032,1.174,79.968,356.208,1.912,99.124,10.427,3.345
19890429,9.229,8.555,1.704,9.536,0.567,27.155,361.562,0.615,99.054,14.407,1.845
19890430,7.343,5.219,1.905,8.309,2.97,243.457,275.785,5.147,99.68,1.123,3.278
19890501,7.516,4.069,4.213,9.083,4.638,233.399,270.754,6.236,100.163,0.0,2.002
19890502,6.86,5.216,2.257,7.607,2.517,102.737,312.763,4.09,99.646,0.001,2.74
19890503,9.567,6.662,4.289,10.888,4.638,186.545,319.211,5.217,99.62,0.009,1.652
19890504,10.448,8.98,1.353,11.115,2.266,219.429,308.394,5.419,99.596,3.445,2.445
19890505,8.201,5.548,1.802,9.408,2.627,204.238,285.005,4.993,99.13,2.072,2.619
19890506,7.643,3.924,2.566,9.175,3.74,230.124,274.807,5.784,98.93,0.307,2.668
19890507,7.306,4.378,2.296,8.511,3.085,199.305,284.008,6.136,99.106,0.129,2.624
19890508,6.047,4.984,0.995,6.485,1.398,96.168,316.099,1.774,98.424,5.618,3.509
19890509,8.333,6.051,2.63,9.181,3.413,222.429,289.021,5.162,98.237,0.917,3.722
19890510,8.327,7.082,0.692,8.79,1.477,204.096,311.714,3.627,97.433,4.352,6.057
19890511,6.801,4.873,1.369,7.517,1.834,203.436,278.119,4.155,97.916,0.577,4.688
19890512,7.944,4.758,3.585,9.128,4.078,226.384,279.93,6.029,98.926,0.0,2.961
19890513,9.638,7.568,1.564,10.406,1.628,88.315,326.795,3.538,98.689,4.156,4.208
19890514,7.933,6.158,0.994,8.592,1.905,178.406,299.734,2.967,98.907,3.726,3.209
19890515,9.507,6.513,2.317,10.62,3.667,273.617,282.279,5.981,99.812,0.455,3.71
19890516,12.423,8.455,4.466,13.897,4.908,270.192,294.477,6.951,99.904,0.0,4.361
19890517,11.253,9.394,0.849,11.873,2.308,271.189,289.273,7.25,99.62,0.037,4.39
19890518,9.872,7.403,0.98,10.695,2.655,254.41,287.118,6.69,99.884,1.178,4.477
19890519,9.115,6.365,2.317,10.032,2.908,92.0,322.596,3.751,99.921,1.592,3.848
19890520,9.14,7.001,1.282,9.853,2.327,224.064,282.798,6.221,100.075,0.114,4.914
19890521,8.871,6.33,0.888,9.626,2.16,217.135,287.873,5.68,100.663,0.191,4.954
19890522,9.034,6.495,3.792,9.789,4.055,241.082,293.59,5.695,100.883,0.0,3.104
19890523,14.19,10.263,2.146,15.357,4.402,285.011,303.091,9.253,100.416,0.0,3.03
19890524,15.646,10.658,3.753,17.129,5.533,297.917,301.548,11.031,100.5,0.0,2.418
19890525,17.834,13.086,3.209,19.245,5.1,297.385,308.068,13.373,100.345,0.0,3.836
19890526,14.699,11.966,0.823,15.511,2.331,253.847,324.456,6.741,99.964,0.784,2.576
19890527,10.352,8.407,1.982,10.93,1.752,217.228,311.871,5.397,99.721,2.023,3.329
19890528,10.06,6.154,3.345,11.221,4.132,298.132,273.005,7.451,99.904,0.0,3.227
19890529,10.057,7.738,1.079,10.747,2.438,172.547,313.616,4.436,98.6,1.659,5.047
19890530,10.103,6.73,0.594,10.99,2.394,259.695,287.365,6.361,98.402,0.003,4.547
19890531,8.739,6.033,2.465,9.452,2.878,158.712,318.11,3.44,98.444,8.408,3.34
19890601,8.778,7.517,0.368,9.11,1.787,170.906,311.857,3.827,98.506,1.07,5.925
19890602,10.356,7.328,1.519,11.153,2.626,234.265,299.841,4.25,99.232,0.604,4.099
19890603,10.887,8.155,2.438,11.606,2.763,140.589,335.848,3.635,99.509,3.614,2.6
19890604,15.859,12.354,2.945,16.782,4.235,200.055,351.989,5.445,99.051,10.004,2.769
19890605,16.669,14.397,0.815,17.194,2.375,201.403,350.688,3.792,98.916,7.819,2.517
19890606,15.003,12.911,1.323,15.485,1.728,108.632,379.376,1.562,98.787,13.663,1.643
19890607,14.605,12.972,2.898,14.982,2.908,249.771,344.507,5.603,99.213,0.394,2.615
19890608,15.507,13.972,1.999,15.861,0.81,160.127,361.818,4.844,99.043,2.414,4.039
19890609,13.701,10.42,1.589,14.458,3.671,250.403,309.736,7.001,99.563,0.0,2.839
19890610,12.793,10.561,0.963,13.309,2.112,140.192,335.618,4.813,99.711,1.686,1.283
19890611,13.132,10.875,0.746,13.653,3.124,227.29,323.992,6.046,99.789,4.519,3.505
19890612,13.574,9.943,1.096,14.411,3.256,288.987,293.722,8.601,100.54,0.224,3.651
19890613,10.758,8.209,0.513,11.346,1.937,218.972,295.386,6.852,101.07,0.106,4.387
19890614,11.076,8.108,2.163,11.761,3.382,288.398,288.61,7.049,101.144,0.0,4.344
19890615,11.165,10.07,3.063,11.417,2.008,71.188,341.327,3.807,100.594,2.447,3.135
19890616,17.429,14.061,1.576,18.206,3.439,197.84,355.467,9.342,100.23,0.0,1.836
19890617,16.201,12.046,1.794,17.16,3.653,247.395,336.257,7.238,99.795,0.648,2.079
19890618,13.629,12.121,0.649,13.977,1.509,254.677,320.455,5.762,99.889,0.107,4.689
19890619,14.838,11.988,1.708,15.408,3.069,123.515,353.97,5.499,100.125,0.265,3.794
19890620,17.541,12.8,2.097,18.489,4.126,300.087,324.772,9.332,99.804,0.0,2.1
19890621,17.056,12.572,0.996,17.953,3.053,307.736,312.17,10.361,99.553,0.0,2.328
19890622,17.395,11.457,2.83,18.583,5.084,315.234,310.753,11.282,99.474,0.0,1.312
19890623,19.097,13.117,2.761,20.293,4.76,305.225,325.639,12.921,98.943,0.0,3.149
19890624,16.886,13.82,0.611,17.499,2.295,222.586,344.035,7.08,98.559,0.823,2.204
19890625,15.744,12.109,1.604,16.471,3.48,251.483,329.936,8.597,98.775,0.242,2.374
19890626,17.9,13.901,2.535,18.7,4.054,291.915,328.401,9.768,99.023,0.0,4.923
19890627,19.675,15.321,1.586,20.545,4.107,293.192,334.907,11.364,99.349,0.01,3.454
19890628,20.156,15.911,2.913,21.135,4.197,255.963,354.355,11.59,99.128,0.019,3.377
19890629,18.571,15.678,1.601,19.149,1.748,213.28,349.59,8.496,98.73,2.204,3.073
19890630,15.676,13.246,2.123,16.237,3.004,162.129,345.638,5.975,98.894,0.088,2.535
19890701,16.332,14.074,1.105,16.853,2.605,227.772,349.68,9.972,98.964,0.0,2.187
19890702,16.66,13.516,0.657,17.385,2.8,237.758,334.296,10.718,99.504,0.122,2.774
19890703,16.592,12.642,2.45,17.503,4.263,318.607,300.397,11.456,100.288,0.0,2.331
19890704,17.818,13.975,2.391,18.704,3.976,292.692,329.655,10.042,100.293,0.0,3.239
19890705,19.002,14.368,1.861,20.072,4.086,255.706,344.256,10.49,100.073,0.0,3.424
19890706,15.91,13.466,0.615,16.554,2.398,291.871,308.624,9.684,100.137,0.0,3.253
19890707,18.95,13.626,4.24,20.351,5.645,273.819,336.063,11.82,99.544,0.013,3.627
19890708,20.096,16.298,2.974,21.096,4.717,247.141,353.258,12.115,99.188,0.13,1.395
19890709,19.15,16.04,0.883,19.968,2.291,203.525,363.032,7.369,99.128,2.518,2.719
19890710,15.994,12.729,1.201,16.853,3.042,304.239,309.215,11.012,99.574,0.0,2.758
19890711,13.896,12.172,1.241,14.35,1.524,118.869,354.932,3.195,99.472,6.931,2.1
19890712,16.606,14.305,1.038,17.212,2.8,192.037,365.635,4.898,98.88,1.702,2.558
19890713,15.236,13.605,0.37,15.665,1.634,153.173,352.948,3.165,98.306,4.777,3.486
19890714,15.138,12.814,0.995,15.749,1.97,197.961,345.663,3.383,98.484,7.363,2.302
19890715,13.917,11.992,0.458,14.423,1.65,134.527,340.668,3.529,98.001,7.14,1.333
19890716,13.06,11.289,0.553,13.526,1.91,184.967,337.876,3.284,97.577,7.908,2.304
19890717,12.214,10.332,1.73,12.71,2.639,167.443,333.252,4.003,98.252,0.945,2.547
19890718,10.136,10.24,0.219,10.109,0.913,77.32,356.023,1.554,98.068,6.803,4.722
19890719,12.423,10.427,0.412,12.948,1.644,153.179,354.526,2.716,98.514,2.385,2.52
19890720,12.309,10.151,0.756,12.877,2.156,135.253,337.284,4.469,99.561,0.372,3.27
19890721,12.403,10.445,1.524,13.055,1.927,126.609,335.068,3.662,99.931,0.487,3.099
19890722,14.028,11.503,1.266,14.87,2.075,205.796,336.659,4.915,99.927,0.45,3.293
19890723,14.504,11.434,1.811,15.527,3.01,194.434,322.905,6.635,100.069,0.001,2.481
19890724,16.75,12.563,3.659,18.145,4.343,254.116,323.388,8.985,100.536,0.0,1.441
19890725,18.407,14.77,2.362,19.619,3.656,263.671,329.739,10.483,100.38,0.0,3.519
19890726,19.164,15.212,2.287,20.481,4.118,251.365,345.179,9.273,100.022,0.08,2.429
19890727,19.182,15.133,2.298,20.531,4.165,274.621,328.668,11.313,99.734,0.0,3.191
19890728,18.247,14.402,1.105,19.529,3.36,223.432,334.678,8.89,99.437,0.5,4.012
19890729,16.463,12.996,1.573,17.618,3.493,250.674,320.552,7.844,99.434,0.0,3.561
19890730,16.684,14.186,1.653,17.517,2.551,148.745,359.419,5.416,99.113,0.475,3.811
19890731,17.259,14.853,1.22,18.061,2.936,202.065,349.741,5.615,98.383,5.245,3.961
19890801,16.046,14.546,0.502,16.546,1.266,110.747,374.649,2.987,97.83,8.863,3.841
19890802,13.313,12.753,0.318,13.544,0.814,48.817,362.113,1.048,98.452,6.256,1.874
19890803,19.215,15.771,3.105,20.633,3.848,196.01,374.118,6.419,98.322,3.195,4.382
19890804,16.825,16.826,1.481,16.825,1.185,172.849,353.508,6.187,98.08,3.924,6.426
19890805,16.128,14.584,0.959,16.764,2.789,105.334,356.486,4.814,98.212,2.56,4.15
19890806,15.523,13.629,0.665,16.302,1.301,173.842,347.436,5.402,98.082,1.047,3.953
19890807,14.976,13.116,1.607,15.741,2.2,180.963,336.594,4.512,98.648,0.891,2.55
19890808,15.443,12.986,1.885,16.455,2.755,206.002,332.84,4.243,98.994,2.078,1.852
19890809,15.669,13.884,1.467,16.404,2.349,167.301,345.036,3.811,98.921,1.02,1.454
19890810,15.322,13.683,1.544,15.997,1.771,162.62,343.348,3.137,98.732,5.398,1.676
19890811,15.692,13.993,1.625,16.392,2.669,163.349,352.492,3.655,98.554,2.65,1.434
19890812,15.594,15.232,0.805,15.758,1.028,77.19,372.251,1.461,98.01,6.563,3.593
19890813,14.635,14.012,1.156,14.918,1.032,158.346,353.744,3.221,97.866,2.432,4.361
19890814,16.095,13.444,2.149,17.42,3.276,166.068,345.068,7.09,98.884,0.015,3.409
19890815,15.717,13.048,2.28,17.052,3.078,172.079,336.987,5.351,99.18,0.366,2.983
19890816,16.918,14.369,1.823,18.192,2.797,165.091,340.665,6.292,99.066,1.057,4.502
19890817,14.05,13.582,1.1,14.285,0.872,42.591,364.167,1.55,98.974,10.698,3.082
19890818,15.023,13.533,0.79,15.768,1.667,176.022,329.415,5.534,98.809,0.118,5.195
19890819,14.347,12.185,0.998,15.428,2.101,191.293,317.375,5.504,99.166,0.581,4.345
19890820,14.435,11.995,2.5,15.655,3.614,200.907,315.789,5.752,99.694,0.0,2.69
19890821,13.954,13.336,1.292,14.263,1.275,90.31,353.747,2.179,98.7,2.358,3.709
19890822,13.293,11.295,1.76,14.389,2.572,210.647,294.483,5.626,99.142,0.0,3.396
19890823,10.656,8.526,2.045,11.824,2.553,104.774,327.055,2.054,98.683,6.24,3.645
19890824,11.23,9.396,0.867,12.236,1.955,149.189,315.666,2.705,97.466,2.823,3.088
19890825,9.222,8.592,0.458,9.6,0.845,92.741,338.315,1.261,97.273,3.404,3.8
19890826,9.569,8.625,0.799,10.135,1.428,77.103,336.896,3.007,98.065,0.163,5.068
19890827,9.115,7.899,1.105,9.844,1.714,102.679,321.828,3.928,98.955,0.248,2.827
19890828,9.902,8.586,1.127,10.691,2.045,96.699,328.908,4.179,99.229,0.529,2.455
19890829,10.129,7.743,1.155,11.561,2.573,164.439,294.796,4.162,98.936,0.467,2.419
19890830,9.566,6.408,2.913,11.461,3.722,170.146,289.411,5.212,99.767,0.0,1.606
19890831,10.759,7.708,2.135,12.59,3.494,192.663,284.867,5.684,100.125,0.0,2.578
19890901,10.846,8.578,1.98,12.333,3.509,143.297,299.966,4.397,99.657,0.0,2.451
19890902,11.697,10.064,2.326,12.767,2.764,130.763,334.805,3.419,99.429,0.0,2.378
19890903,12.211,10.492,1.054,13.337,2.02,117.247,323.346,3.915,99.419,0.016,2.307
19890904,9.274,7.467,1.49,10.458,2.565,94.987,301.678,3.24,99.627,0.076,3.805
19890905,9.573,7.779,3.326,10.748,3.69,157.782,297.426,3.148,99.388,0.225,2.122
19890906,13.127,11.543,1.78,14.259,2.634,111.964,329.428,4.028,98.66,0.034,4.568
19890907,12.816,11.55,1.116,13.72,1.319,162.009,304.374,6.94,98.712,0.212,5.535
19890908,10.439,8.664,1.474,11.707,2.946,137.868,291.944,4.91,99.725,0.001,3.023
19890909,10.092,8.035,1.112,11.56,2.95,146.164,296.821,3.644,100.078,0.346,1.401
19890910,8.093,5.95,1.395,9.759,3.322,144.592,286.535,3.747,100.5,1.158,3.189
19890911,7.189,4.542,2.047,9.247,3.836,124.953,285.212,3.782,100.446,0.004,2.869
19890912,7.087,5.879,2.995,8.027,2.429,71.879,316.804,1.472,100.014,0.06,2.275
19890913,10.653,8.47,1.4,12.351,2.835,139.197,310.355,3.896,99.398,0.012,2.676
19890914,8.845,7.013,2.123,10.269,4.012,126.897,294.286,3.549,98.756,0.0,1.77
19890915,10.381,9.078,2.241,11.394,2.56,75.839,332.353,2.292,97.886,0.05,3.141
19890916,11.465,10.901,0.22,11.904,1.019,80.951,346.874,2.42,98.138,1.196,3.45
19890917,11.429,10.849,0.58,11.88,1.575,74.015,348.154,2.757,98.688,2.758,3.303
19890918,10.566,9.26,1.326,11.672,1.272,98.383,321.176,2.654,98.719,5.102,4.11
19890919,10.733,9.877,4.226,11.52,3.025,78.7,329.386,1.843,99.523,0.04,3.924
19890920,14.282,12.9,1.273,15.553,0.865,82.093,333.369,4.093,99.345,1.46,5.026
19890921,13.52,12.26,1.486,14.68,1.883,77.677,329.717,4.248,99.568,0.0,5.858
19890922,13.059,11.731,1.74,14.281,3.525,104.738,326.858,2.82,99.968,0.006,2.506
19890923,13.92,12.412,0.903,15.308,2.586,104.06,336.505,3.363,99.697,0.028,3.151
19890924,11.898,11.874,0.77,11.921,0.762,35.674,374.101,0.861,99.719,0.624,2.529
19890925,12.346,11.931,0.332,12.727,0.891,38.545,366.556,1.727,99.48,0.923,2.121
19890926,12.191,11.14,0.65,13.158,1.677,48.073,358.838,2.833,99.485,0.265,2.729
19890927,11.322,10.632,1.843,11.957,1.878,50.479,345.958,2.061,99.748,0.961,3.575
19890928,10.833,10.208,1.652,11.408,0.409,48.278,354.374,1.244,99.207,8.397,3.23
19890929,5.617,4.702,0.943,6.532,2.256,95.798,282.824,2.64,99.132,0.086,3.381
19890930,4.453,3.997,0.795,4.949,0.676,72.828,282.012,2.391,98.677,2.139,5.035
19891001,3.405,2.743,1.573,4.124,2.386,75.972,278.633,2.591,98.779,1.543,3.317
19891002,4.116,3.47,0.684,4.819,1.61,62.587,290.383,1.129,97.144,1.62,3.318
19891003,3.859,3.082,1.744,4.704,2.25,67.363,277.428,2.435,98.605,0.014,5.175
19891004,6.831,5.694,1.652,8.067,1.906,54.82,308.298,2.203,99.104,0.254,3.242
19891005,4.343,3.387,1.469,5.381,2.477,94.35,257.165,3.124,100.001,0.0,3.571
19891006,1.511,0.036,1.795,3.114,3.18,87.937,247.424,1.743,99.955,0.0,2.313
19891007,0.679,0.142,2.185,1.264,2.363,35.785,296.979,0.916,99.391,0.062,2.995
19891008,2.706,2.612,0.665,2.818,0.929,23.596,324.939,1.064,99.685,0.339,1.614
19891009,4.761,3.99,1.211,5.673,2.229,28.975,314.76,1.663,99.63,0.357,2.588
19891010,4.12,3.813,0.793,4.482,1.462,21.673,320.209,1.246,99.17,3.234,3.259
19891011,4.515,4.432,0.178,4.621,0.186,13.772,336.242,0.579,97.978,2.933,2.809
19891012,2.779,2.914,1.102,2.606,0.565,14.241,320.065,0.615,97.629,8.22,2.799
